"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 13:35:38 GMT 2021","Thu Oct 14 13:35:44 GMT 2021","6016","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test01","test positive calculate factorial",""
"passed","Thu Oct 14 13:35:47 GMT 2021","Thu Oct 14 13:35:48 GMT 2021","1215","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[3] 171, The factorial of 171 is: Infinity",""
"passed","Thu Oct 14 13:35:48 GMT 2021","Thu Oct 14 13:35:51 GMT 2021","2605","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[1] 0",""
"passed","Thu Oct 14 13:35:52 GMT 2021","Thu Oct 14 13:35:53 GMT 2021","839","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test02","[1] -10",""
"passed","Thu Oct 14 13:35:45 GMT 2021","Thu Oct 14 13:35:46 GMT 2021","992","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[1] 3 4, Please enter an integer",""
"passed","Thu Oct 14 13:35:51 GMT 2021","Thu Oct 14 13:35:52 GMT 2021","678","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[2] 1",""
"passed","Thu Oct 14 13:35:53 GMT 2021","Thu Oct 14 13:35:54 GMT 2021","663","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test02","[2] 979",""
"passed","Thu Oct 14 13:35:46 GMT 2021","Thu Oct 14 13:35:47 GMT 2021","1320","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[2] 170, The factorial of 170 is: 7.257415615307999e+306",""
"passed","Thu Oct 14 13:35:52 GMT 2021","Thu Oct 14 13:35:52 GMT 2021","675","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[3] 12",""
