"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 13:28:53 GMT 2021","Thu Oct 14 13:28:54 GMT 2021","810","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test02","[1] -10",""
"passed","Thu Oct 14 13:28:48 GMT 2021","Thu Oct 14 13:28:50 GMT 2021","1210","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[3] 171, The factorial of 171 is: Infinity",""
"passed","Thu Oct 14 13:28:52 GMT 2021","Thu Oct 14 13:28:53 GMT 2021","692","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[2] 1",""
"passed","Thu Oct 14 13:28:47 GMT 2021","Thu Oct 14 13:28:48 GMT 2021","1181","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[2] 170, The factorial of 170 is: 7.257415615307999e+306",""
"passed","Thu Oct 14 13:28:54 GMT 2021","Thu Oct 14 13:28:55 GMT 2021","658","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test02","[2] 979",""
"passed","Thu Oct 14 13:28:53 GMT 2021","Thu Oct 14 13:28:53 GMT 2021","684","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[3] 12",""
"passed","Thu Oct 14 13:28:41 GMT 2021","Thu Oct 14 13:28:46 GMT 2021","5526","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test01","test positive calculate factorial",""
"passed","Thu Oct 14 13:28:46 GMT 2021","Thu Oct 14 13:28:47 GMT 2021","930","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[1] 3 4, Please enter an integer",""
"passed","Thu Oct 14 13:28:50 GMT 2021","Thu Oct 14 13:28:52 GMT 2021","2272","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[1] 0",""
