"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 24 19:51:09 GMT 2022","Mon Jan 24 19:53:22 GMT 2022","133074","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number 979",""
"broken","Mon Jan 24 19:51:09 GMT 2022","Mon Jan 24 19:53:22 GMT 2022","133073","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 1",""
"broken","Mon Jan 24 19:51:08 GMT 2022","Mon Jan 24 19:51:45 GMT 2022","36353","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 171 is The factorial of 171 is: Infinity",""
"broken","Mon Jan 24 19:51:09 GMT 2022","Mon Jan 24 19:53:22 GMT 2022","133046","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number -10",""
"broken","Mon Jan 24 19:51:09 GMT 2022","Mon Jan 24 19:53:22 GMT 2022","133075","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 0",""
"broken","Mon Jan 24 19:51:08 GMT 2022","Mon Jan 24 19:51:45 GMT 2022","36314","","ui tests suite","","io.farel.interview.UiTest","test01","[1] chrome",""
"broken","Mon Jan 24 19:51:08 GMT 2022","Mon Jan 24 19:51:45 GMT 2022","36350","","ui tests suite","","io.farel.interview.UiTest","test01","[2] firefox",""
"broken","Mon Jan 24 19:51:08 GMT 2022","Mon Jan 24 19:51:45 GMT 2022","36341","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 170 is The factorial of 170 is: 7.257415615307999e+306",""
"broken","Mon Jan 24 19:51:09 GMT 2022","Mon Jan 24 19:53:22 GMT 2022","133080","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 12",""
"broken","Mon Jan 24 19:51:08 GMT 2022","Mon Jan 24 19:51:45 GMT 2022","36355","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 3 4 is Please enter an integer",""
