"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 14:44:28 GMT 2021","Thu Oct 14 14:44:29 GMT 2021","1198","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 170 is The factorial of 170 is: 7.257415615307999e+306",""
"passed","Thu Oct 14 14:44:29 GMT 2021","Thu Oct 14 14:44:30 GMT 2021","1106","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 171 is The factorial of 171 is: Infinity",""
"passed","Thu Oct 14 14:44:34 GMT 2021","Thu Oct 14 14:44:34 GMT 2021","727","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number -10",""
"passed","Thu Oct 14 14:44:27 GMT 2021","Thu Oct 14 14:44:28 GMT 2021","774","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 3 4 is Please enter an integer",""
"passed","Thu Oct 14 14:44:32 GMT 2021","Thu Oct 14 14:44:33 GMT 2021","606","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 1",""
"passed","Thu Oct 14 14:44:33 GMT 2021","Thu Oct 14 14:44:34 GMT 2021","628","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 12",""
"passed","Thu Oct 14 14:44:30 GMT 2021","Thu Oct 14 14:44:32 GMT 2021","2066","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 0",""
"passed","Thu Oct 14 14:44:34 GMT 2021","Thu Oct 14 14:44:35 GMT 2021","602","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number 979",""
"passed","Thu Oct 14 14:44:22 GMT 2021","Thu Oct 14 14:44:27 GMT 2021","5163","","ui tests suite","","io.farel.interview.UiTest","test01","test positive calculate factorial",""
