"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 11:25:20 GMT 2021","Fri Oct 15 11:25:21 GMT 2021","413","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 12",""
"passed","Fri Oct 15 11:25:15 GMT 2021","Fri Oct 15 11:25:16 GMT 2021","986","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 170 is The factorial of 170 is: 7.257415615307999e+306",""
"passed","Fri Oct 15 11:25:15 GMT 2021","Fri Oct 15 11:25:15 GMT 2021","719","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 3 4 is Please enter an integer",""
"passed","Fri Oct 15 11:25:10 GMT 2021","Fri Oct 15 11:25:15 GMT 2021","4742","","ui tests suite","","io.farel.interview.UiTest","test01","test positive calculate factorial",""
"passed","Fri Oct 15 11:25:21 GMT 2021","Fri Oct 15 11:25:22 GMT 2021","425","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number 979",""
"passed","Fri Oct 15 11:25:16 GMT 2021","Fri Oct 15 11:25:17 GMT 2021","910","","ui tests suite","","io.farel.interview.UiTest","test02","factorial for number 171 is The factorial of 171 is: Infinity",""
"passed","Fri Oct 15 11:25:20 GMT 2021","Fri Oct 15 11:25:20 GMT 2021","426","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 1",""
"passed","Fri Oct 15 11:25:18 GMT 2021","Fri Oct 15 11:25:20 GMT 2021","2090","","api tests suite","","io.farel.interview.ApiTest","test01","call factorial endpoint with number 0",""
"passed","Fri Oct 15 11:25:21 GMT 2021","Fri Oct 15 11:25:21 GMT 2021","589","","api tests suite","","io.farel.interview.ApiTest","test02","call factorial endpoint with number -10",""
