"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 13:16:20 GMT 2021","Thu Oct 14 13:16:21 GMT 2021","843","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[1] 3 4, Please enter an integer",""
"passed","Thu Oct 14 13:16:15 GMT 2021","Thu Oct 14 13:16:20 GMT 2021","5190","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test01","test positive calculate factorial",""
"passed","Thu Oct 14 13:16:26 GMT 2021","Thu Oct 14 13:16:27 GMT 2021","596","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[3] 12",""
"passed","Thu Oct 14 13:16:23 GMT 2021","Thu Oct 14 13:16:25 GMT 2021","2020","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[1] 0",""
"passed","Thu Oct 14 13:16:25 GMT 2021","Thu Oct 14 13:16:26 GMT 2021","621","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test01","[2] 1",""
"passed","Thu Oct 14 13:16:27 GMT 2021","Thu Oct 14 13:16:28 GMT 2021","622","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test02","[2] 979",""
"passed","Thu Oct 14 13:16:22 GMT 2021","Thu Oct 14 13:16:23 GMT 2021","1123","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[3] 171, The factorial of 171 is: Infinity",""
"passed","Thu Oct 14 13:16:21 GMT 2021","Thu Oct 14 13:16:22 GMT 2021","1149","","io.farel.interview.UiTest","","io.farel.interview.UiTest","test02","[2] 170, The factorial of 170 is: 7.257415615307999e+306",""
"passed","Thu Oct 14 13:16:27 GMT 2021","Thu Oct 14 13:16:27 GMT 2021","743","","io.farel.interview.ApiTest","","io.farel.interview.ApiTest","test02","[1] -10",""
